id,bulletin,description,grupo_muestreo,act_type_n1,is_relevant_gt,procedures_gt,technologies_gt
0,bocyl,"RESOLUCIÓN de 3 de febrero de 2025, del Servicio Territorial de Industria, Comercio y Economía de Valladolid, dictada por delegación, por la que se concede la autorización administrativa previa y autorización administrativa de construcción de una instalación de distribución eléctrica, en el término municipal de Villalón de Campos (Valladolid). Expte.: AT-51585 (ATLI-51585).",AAC,resolución,True,"AAP,AAC",línea_eléctrica
1,boe,"Resolución de 24 de febrero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Red Eléctrica de España, SAU, autorización administrativa previa y autorización administrativa de construcción de la línea aérea de transporte de energía eléctrica a 400 kV, doble circuito, de entrada y salida en la subestación Torrejón de Velasco, de la línea eléctrica a 400 kV Morata-Villaviciosa, en Torrejón de Velasco (Madrid), y se declara, en concreto, la utilidad pública.",AAC,resolución,True,"AAP,AAC,DUP",línea_eléctrica
2,bon,"Información pública de la solicitud de autorización administrativa previa, autorización administrativa de construcción y declaración de impacto ambiental de la ""planta fotovoltaica de autoconsumo hibridado con la planta de cogeneración de Viscofán de 45,045 MW de potencia instalada"" y su infraestructura de evacuación",AAC,información_pública,True,"AAP,AAC,DIA","fotovoltaica,hibridación"
3,docm,"Resolución de 22/10/2024, de la Delegación Provincial de Desarrollo Sostenible de Guadalajara, por la que se otorga a UFD Distribución Electricidad, SA, la autorización administrativa previa y autorización administrativa de construcción del proyecto con título: Proyecto para PS entronque en media tensión. Término municipal de Auñón (Guadalajara). Número de expediente 2023DIST023.",AAC,resolución,True,"AAP,AAC",línea_eléctrica
4,boa,"RESOLUCIÓN de 9 de abril de 2024, de la Directora General de Energía y Minas, por la que se otorga la autorización administrativa previa y autorización de construcción de la planta fotovoltaica ""Ancar II"" en el término municipal de Alfambra (Teruel).",AAC,resolución,True,"AAP,AAC",fotovoltaica
5,docm,"Resolución de 12/03/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente: E-45211122377 corresponde I.",AAC,resolución,True,"AAP,AAC",línea_eléctrica
6,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización administrativa previa y autorización administrativa de construcción de una instalación solar fotovoltaica y su instalación de evacuación, en el término municipal de San Marcial-El Perdigón (Zamora). Expte.: 9158 PSFV El Cerrojo - ITX.",AAC,información_pública,True,"AAP,AAC",fotovoltaica
7,bon,"RESOLUCIÓN 167/2024, de 10 de diciembre, de la directora general de Energía, I+D+i empresarial y Emprendimiento, por la que se deniega la autorización administrativa previa, y la autorización administrativa de construcción y declaración, en concreto, de utilidad pública para la instalación de producción de energía eléctrica denominada planta solar fotovoltaica ""Tafalla Polux"", en término municipal de Tafalla.",AAC,resolución,True,"AAP,AAC,DUP",fotovoltaica
8,boe,"Anuncio de los Servicios Territoriales en Tarragona del Departamento de Territorio, Vivienda y Transición Ecológica de la Generalitat de Cataluña por el que se somete a información pública la solicitud de modificación de la autorización administrativa previa, la autorización administrativa de construcción y la declaración de utilidad pública del Proyecto de la línea eléctrica de evacuación de la planta solar fotovoltaica llamada PS AENA Aeroport Reus de 12,5 MW sobre terreno en suelo no urbanizable, en el término municipal de Reus, en la comarca del Baix Camp. (Expte.FUE-2020-02168847, RAC-02530, RIPRE-02530).",AAC,anuncio,True,"AAP,AAC,DUP","fotovoltaica,línea_eléctrica"
9,boe,"Resolución de 27 de enero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Hornija Eólica, SLU, autorización administrativa previa y autorización administrativa de construcción, para la instalación solar fotovoltaica San Lorenzo D, de 34,377 MW de potencia instalada, para su hibridación con el parque eólico existente San Lorenzo D, de 33,75 MW, y sus infraestructuras de evacuación, en Castromonte, Torrelobatón y Peñaflor de Hornija (Valladolid), y se declara, en concreto, la utilidad pública.",AAC,resolución,True,"AAP,AAC,DUP","fotovoltaica,hibridación"
