id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador
0,boja,"Resolución de 16 de enero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por la que se dispone la publicación de la Resolución de 11 de diciembre de 2024, que ordena proceder al registro y publicación de la «Modificación del Plan General de Ordenación Urbana (PGOU) de Mijas».",PGOU,True,MOD_PUN,fase_definitiva,Publicacion registro Modificacion PGOU Mijas
1,bocm,"Plan general de urbanismo
– Acuerdo de 12 de marzo de 2025, del Consejo de Gobierno, por el que se aprueba definitivamente la Decimoctava Modificación Puntual del Plan General de Ordenación Urbana de Getafe, en el ámbito ZOI 04, “Los Olivos”",PGOU,True,MOD_PUN,fase_definitiva,Decimoctava Modificacion Puntual PGOU Getafe
2,docm,"Anuncio de 28/01/2025, del Ayuntamiento de Villar de Olalla (Cuenca), sobre exposición pública del Plan Especial de Reforma Interior de Mejora (Perim) en el entorno de la senda de las Pernalosas-sectores U.2A y U.2B de las Normas Subsidiarias de Villar de Olalla (Cuenca).",PGOU,True,PLAN_ESP,fase_ip,PERIM exposicion publica - Plan Especial Reforma Interior Mejora
3,docm,"Anuncio de 27/12/2024, del Ayuntamiento de Albacete, de la Gerencia Municipal de Urbanismo y Vivienda, sobre información pública del contenido de la plica presentada por la mercantil, Albaluz German Capital SL, a su propia alternativa técnica de Programa de Actuación Urbanizadora presentada para el desarrollo de las determinaciones urbanísticas de la Ordenanza de Transformación 10.11 carretera Madrid I del Plan General de Ordenación Urbana de Albacete.",PGOU,True,PROY_URB,fase_ip,PAU en CLM = PROY_URB
4,boca,"Viceconsejería de Planificación Territorial y Reto Demográfico.- Anuncio por el que se hace pública la Resolución de 14 de febrero de 2025, que da publicidad al Acuerdo de la Comisión Autonómica de Evaluación Ambiental de 12 de febrero de 2025, para la emisión del Informe Ambiental Estratégico en el Procedimiento de Evaluación Ambiental Estratégica Simplificada de la Modificación Menor del Plan General de Ordenación de Güímar - Unidad de Actuación 16.2 El Tablado.- Expte. 2022/0014990 (5940).",PGOU,True,MOD_PUN,fase_ip,IAE Modificacion Menor PGO Guimar Canarias
5,doe,"Anuncio de 20 de febrero de 2025 sobre aprobación inicial del Programa de Ejecución de la UE3, de la zona 3 de las Normas Subsidiarias.",PGOU,True,PROY_URB,fase_inicial,Proyecto Ejecucion UE3 NNSS = PROY_URB
6,dogc,"Anuncio sobre aprobación inicial de la modificación puntual del Plan general de ordenación municipal de Lliçà de Vall referente al ámbito de la UA del polígono industrial de Can Coll, Tèxtil Torres",PGOU,True,MOD_PUN,"fase_inicial,uso_industrial",Mod puntual PGO municipal poligono industrial Can Coll
7,dogv,"EDICTO de aprobación del informe ambiental y territorial estratégico, por el procedimiento simplificado, de la modificación puntual de la ordenación detallada del Plan general de ordenación urbana de la redistribución del suelo dotacional en la UE-1 insertada en suelo urbano.",PGOU,True,MOD_PUN,"fase_ip,uso_equipamiento",IAE mod puntual PGOU redistribucion suelo dotacional
8,boc,"Informe Ambiental Estratégico de la Modificación Puntual número 1, del Plan General de Ordenación Urbana, de San Miguel de Aguayo. Protección de los valores naturales y paisajísticos y adaptación a la LOTUCA.",PGOU,True,MOD_PUN,fase_ip,IAE Modificacion Puntual 1 PGOU San Miguel de Aguayo
9,boca,"ANUNCIO de 6 de noviembre de 2024, por el que se somete a información pública la aprobación inicial de la “Modificación Menor del Plan General de Ordenación, modificación de la Ficha del SG-SP 1.13.045 Aparcamiento del Campo de Fútbol Los Pozos”.",PGOU,True,MOD_PUN,"fase_inicial,uso_equipamiento",IP aprobacion inicial Mod Menor PGO aparcamiento campo futbol
10,dogv,"ANUNCIO del Acuerdo de 25 de noviembre de 2024, de la Junta de Gobierno Local, del informe ambiental y territorial estratégico favorable sobre la modificación puntual del Plan general de ordenación urbana de Benicarló para la calificación como equipación (SQE) de terrenos calificados como espacio libre (E1) y viario (V1), colindantes con la unidad de actuación 7 de suelo urbano, para la construcción del Colegio de Educación Infantil y Primaria número 5.",PGOU,True,MOD_PUN,"fase_ip,uso_equipamiento",IAE mod puntual PGOU Benicarlo suelo dotacional CEIP
11,bocyl,INFORMACIÓN pública relativa a la aprobación inicial del proyecto de urbanización del sector 7 de suelo urbanizable del Plan General de Ordenación Urbana de Cabezón de Pisuerga (Valladolid). Expte.: 1168/2021.,PGOU,True,PROY_URB,fase_inicial,Aprobacion inicial proyecto urbanizacion sector 7 PGOU
12,boa,"RESOLUCIÓN de 28 de enero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se formula la declaración ambiental estratégica del Plan General de Ordenación Urbana Simplificado de Jarque de Moncayo (Zaragoza), promovido por el Ayuntamiento de Jarque de Moncayo. (Número de Expediente: INAGA 500201/71/2024/09313).",PGOU,True,PGOU,fase_ip,DAE Plan General Ordenacion Urbana Simplificado Jarque de Moncayo
13,boja,"Acuerdo de 25 de noviembre de 2024, del Ayuntamiento de Almedinilla, por el que se aprueba definitivamente el documento de revisión parcial del Plan General de Ordenación Urbanística de Almedinilla. Fuente Grande-Venta de Las Navas. (PP. 10317/2024).",PGOU,True,PGOU,fase_definitiva,Aprobacion definitiva revision parcial PGOU Almedinilla
14,boca,"Gerencia Municipal de Urbanismo.- Anuncio de 29 de enero de 2025, por el que se somete a información pública la aprobación inicial de la Modificación Menor del Plan General de Ordenación para la protección del inmueble sito en la Avenida Lucas Vega, n.º 100.",PGOU,True,MOD_PUN,fase_inicial,IP aprobacion inicial Modificacion Menor PGO proteccion inmueble
15,bocyl,"ACUERDO de 18 de febrero de 2025, del Pleno del Ayuntamiento de Saldaña de Burgos (Burgos), por el que se aprueba definitivamente el proyecto de actuación de la unidad de actuación única del sector de suelo urbano no consolidado Golf Saldaña de las Normas Urbanísticas Municipales.",PGOU,True,PROY_URB,fase_definitiva,Aprobacion definitiva proyecto actuacion UE Golf Saldana NUM
16,dogv,ANUNCIO por el que se somete a información pública la modificación puntual número 2 del Plan general de ordenación urbana.,PGOU,True,MOD_PUN,fase_ip,IP modificacion puntual num 2 PGOU
17,bocm,"Plan general de urbanismo
– Acuerdo de 12 de febrero de 2025, del Consejo de Gobierno, por el que se aprueba definitivamente la modificación del Plan General de Ordenación Urbana de Madrid para la creación del Área de Planeamiento Específico 10.24 “Paseo de la Ermita del Santo”, distrito de Latina, que incluye la delimitación de una única Unidad de Ejecución",PGOU,True,MOD_PUN,fase_definitiva,Aprobacion definitiva mod PGOU Madrid APE 10.24 Paseo Ermita Santo
18,bocyl,"ACUERDO de 27 de febrero de 2025, de la Comisión Territorial de Medio Ambiente y Urbanismo de Salamanca, por el que se aprueba definitivamente la modificación n.º 2 de las Normas Urbanísticas Municipales de Miranda de Azán (Salamanca). Expte.: 24-037.",PGOU,True,MOD_PUN,fase_definitiva,Aprobacion definitiva modificacion n2 NUM Miranda de Azan
19,bocm,"Normas urbanísticas
– Orden 878/2025, de 7 de marzo, de la Consejería de Medio Ambiente, Agricultura e Interior, por la que se aprueba definitivamente la Modificación Puntual de las Normas Subsidiarias de ámbito municipal de Buitrago del Lozoya, con el fin de adecuar las condiciones urbanísticas del Matadero Frigorífico Comarcal de Buitrago a su condición de equipamiento de interés social",PGOU,True,MOD_PUN,"fase_definitiva,uso_equipamiento",Aprobacion definitiva Mod Puntual NNSS Buitrago matadero a equipamiento
20,bocyl,"INFORMACIÓN pública relativa a la aprobación inicial de la modificación n.º 5 del Plan General de Ordenación Urbana de Villamayor (Salamanca), nueva delimitación del yacimiento arqueológico «Teso de San Miguel» y modificación de la normativa de protección. Expte.: 185/2025.",PGOU,True,MOD_PUN,fase_inicial,IP aprobacion inicial mod 5 PGOU Villamayor yacimiento arqueologico
21,docm,"Anuncio de 30/01/2025, del Ayuntamiento de Ciudad Real, sobre información pública de la alternativa técnica presentada por la mercantil Aikon Energía, SL del Programa de Actuación Urbanizadora de la Unidad de Ejecución del Plan General de Ordenación Urbana, denominada UE-VCAR.",PGOU,True,PROY_URB,fase_ip,IP alternativa tecnica PAU UE-VCAR PGOU Albacete
22,boib,"Acuerdo de aprobación definitiva con prescripciones relativa a la Modificación puntual nº. 3 de las Normas Subsidiarias de planeamiento del municipio de Mancor de la Vall consistente en la modificación de alineaciones, usos y parámetros edificatorios y ordenanzas de estética",PGOU,True,MOD_PUN,fase_definitiva,Aprobacion definitiva Mod Puntual 3 NNSS Mancor de la Vall
23,dogv,ANUNCIO por el que se somete a información pública la modificación puntual número 10 del Plan general de ordenación urbana de Montaverner (expediente 389/2021).,PGOU,True,MOD_PUN,fase_ip,IP modificacion puntual num 10 PGOU Montaverner
24,boib,Modificación puntual de las normas subsidiarias de Consell para la delimitación y ordenación de un aparcamiento disuasivo,PGOU,True,MOD_PUN,uso_equipamiento,Mod puntual NNSS Consell aparcamiento disuasivo
25,bopa,"Resolución de 3 de febrero de 2025, de la Consejería de Transición Ecológica, Industria y Desarrollo Económico, por la que se formula el informe ambiental estratégico de nueva delimitación y Plan Parcial del Área de Planeamiento Propuesto S-R-CBÑ 2 “Cabueñes Residencial” (APP-S-R-CBÑ2) (Gijón) (IA-PP-0141/2024//AUTO/2024/12984). [Cód. 2025-00970]",PLAN_ESP,True,PLAN_ESP,"fase_ip,uso_residencial",IAE Plan Parcial Cabueñes Residencial
26,bon,Aprobación definitiva del Plan Especial de Actuación Urbana de las unidades UE-9 y UE-10,PLAN_ESP,True,PLAN_ESP,fase_definitiva,Aprobacion definitiva Plan Especial Actuacion Urbana UE-9 y UE-10
27,bocyl,"INFORMACIÓN pública relativa a la aprobación inicial del estudio de detalle, promovido por «Decoración Muebles Cagigal, S.A.», para la modificación de los parámetros de ordenación detallada de la parcela del Callejón Los Tochos n.º 1, en el término municipal de Aguilar de Campoo (Palencia). Expte.: 1373/2024.",PLAN_ESP,True,PLAN_ESP,fase_inicial,Aprobacion inicial estudio detalle parcela Callejon Los Tochos
28,bopv,"RESOLUCIÓN de 27 de enero de 2025, del Director de Administración Ambiental, por la que se formula informe ambiental estratégico del Plan Parcial del sector Ipintza Z1.5 de Zumarraga (Gipuzkoa).
				
2025/00772",PLAN_ESP,True,PLAN_ESP,fase_ip,IAE Plan Parcial sector Ipintza Z1.5 Zumarraga
29,bopa,"Anuncio público a personas interesadas desconocidas en el procedimiento de evaluación ambiental estratégica simplificada. Plan Parcial del sector urbanizable UZ2-La Vega-U, Villabona (Llanera). Expte. IA-PP-0236/2024//AUTO/2024/18789. [Cód. 2025-01744]",PLAN_ESP,True,PLAN_ESP,fase_ip,EAE simplificada Plan Parcial UZ2-La Vega-U Villabona
30,bocyl,"ACUERDO de 20 de diciembre de 2024, del Pleno del Ayuntamiento de Burgos, relativo a la aprobación definitiva del «Estudio de detalle naves nido C/ López Bravo, 11B, polígono industrial. Villalonquejar (Burgos)», promovido por «Santaolalla Ambiental, S.L.». Expte.: 4/2024 EST-PGOU.",PLAN_ESP,True,PLAN_ESP,"fase_definitiva,uso_industrial",Aprobacion definitiva ED naves nido poligono industrial Villalonquejar
31,borm,"Aprobación inicial del Programa de Actuación, del cambio de sistema de gestión y de los estatutos de la Junta de Compensación de la Unidad de Ejecución n.º I.b del Plan Parcial “Usos Terciarios de Carretera de Sucina”.",PLAN_ESP,True,"PLAN_ESP,PROY_URB","fase_inicial,uso_comercial",IP PA + Junta Compensacion Plan Parcial Usos Terciarios Sucina
32,dogc,Edicto sobre aprobación inicial del Plan especial urbanístico autónomo de la vía verde del Fluvià de ámbito supramunicipal entre Sant Ferriol y La Vall de Bianya,PLAN_ESP,True,PLAN_ESP,fase_inicial,Aprobacion inicial Plan especial via verde Fluvia supramunicipal
33,doe,Anuncio de 29 de enero de 2025 sobre aprobación inicial del Estudio de Detalle de la parcela EEC-1 del SUB CC-9.2.4.,PLAN_ESP,True,PLAN_ESP,fase_inicial,Aprobacion inicial ED parcela EEC-1 SUB CC-9.2.4
34,bon,"Aprobación definitiva de Estudio de Detalle en la parcela 2564 del polígono 7/Z-1 U.I. X Landaben, para ampliación de edificio anexo a Mutua Navarra",PLAN_ESP,True,PLAN_ESP,"fase_definitiva,uso_equipamiento",Aprobacion definitiva ED Landaben ampliacion Mutua Navarra
35,bocyl,"INFORMACIÓN pública relativa a la aprobación inicial del estudio de detalle para la modificación de la alteración existente en la calle Juan Bravo n.º 25-27, en el término municipal de Cantalejo (Segovia). Expte.: 1422/2024.",PLAN_ESP,True,PLAN_ESP,fase_inicial,Aprobacion inicial ED calle Juan Bravo 25-27 Cantalejo
36,bon,Aprobación inicial de Estudio de Detalle en la parcela 218 del polígono 4,PLAN_ESP,True,PLAN_ESP,fase_inicial,Aprobacion inicial ED parcela 218 poligono 4
37,bon,Aprobación definitiva de Estudio de Detalle en la parcela 104 del polígono 1,PLAN_ESP,True,PLAN_ESP,fase_definitiva,Aprobacion definitiva ED parcela 104 poligono 1
38,bocyl,"ACUERDO de 18 de noviembre de 2024, del Pleno del Ayuntamiento de Aldearrubia (Salamanca), relativo a la aprobación definitiva del estudio de detalle para el solar de la calle Camino de los Partidos 3C.",PLAN_ESP,True,PLAN_ESP,fase_definitiva,Aprobacion definitiva ED solar calle Camino Partidos 3C Aldearrubia
39,bon,Aprobación inicial de Estudio de Detalle en la parcela 33 del polígono 1 de Unciti (Valle de Unciti),PLAN_ESP,True,PLAN_ESP,fase_inicial,Aprobacion inicial ED parcela 33 poligono 1 Unciti
