id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador
0,boja,"Resolución de 16 de enero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por la que se dispone la publicación de la Resolución de 11 de diciembre de 2024, que ordena proceder al registro y publicación de la «Modificación del Plan General de Ordenación Urbana (PGOU) de Mijas».",PGOU,,,,
1,bocm,"Plan general de urbanismo
– Acuerdo de 12 de marzo de 2025, del Consejo de Gobierno, por el que se aprueba definitivamente la Decimoctava Modificación Puntual del Plan General de Ordenación Urbana de Getafe, en el ámbito ZOI 04, “Los Olivos”",PGOU,,,,
2,docm,"Anuncio de 28/01/2025, del Ayuntamiento de Villar de Olalla (Cuenca), sobre exposición pública del Plan Especial de Reforma Interior de Mejora (Perim) en el entorno de la senda de las Pernalosas-sectores U.2A y U.2B de las Normas Subsidiarias de Villar de Olalla (Cuenca).",PGOU,,,,
3,docm,"Anuncio de 27/12/2024, del Ayuntamiento de Albacete, de la Gerencia Municipal de Urbanismo y Vivienda, sobre información pública del contenido de la plica presentada por la mercantil, Albaluz German Capital SL, a su propia alternativa técnica de Programa de Actuación Urbanizadora presentada para el desarrollo de las determinaciones urbanísticas de la Ordenanza de Transformación 10.11 carretera Madrid I del Plan General de Ordenación Urbana de Albacete.",PGOU,,,,
4,boca,"Viceconsejería de Planificación Territorial y Reto Demográfico.- Anuncio por el que se hace pública la Resolución de 14 de febrero de 2025, que da publicidad al Acuerdo de la Comisión Autonómica de Evaluación Ambiental de 12 de febrero de 2025, para la emisión del Informe Ambiental Estratégico en el Procedimiento de Evaluación Ambiental Estratégica Simplificada de la Modificación Menor del Plan General de Ordenación de Güímar - Unidad de Actuación 16.2 El Tablado.- Expte. 2022/0014990 (5940).",PGOU,,,,
5,doe,"Anuncio de 20 de febrero de 2025 sobre aprobación inicial del Programa de Ejecución de la UE3, de la zona 3 de las Normas Subsidiarias.",PGOU,,,,
6,dogc,"Anuncio sobre aprobación inicial de la modificación puntual del Plan general de ordenación municipal de Lliçà de Vall referente al ámbito de la UA del polígono industrial de Can Coll, Tèxtil Torres",PGOU,,,,
7,dogv,"EDICTO de aprobación del informe ambiental y territorial estratégico, por el procedimiento simplificado, de la modificación puntual de la ordenación detallada del Plan general de ordenación urbana de la redistribución del suelo dotacional en la UE-1 insertada en suelo urbano.",PGOU,,,,
8,boc,"Informe Ambiental Estratégico de la Modificación Puntual número 1, del Plan General de Ordenación Urbana, de San Miguel de Aguayo. Protección de los valores naturales y paisajísticos y adaptación a la LOTUCA.",PGOU,,,,
9,boca,"ANUNCIO de 6 de noviembre de 2024, por el que se somete a información pública la aprobación inicial de la “Modificación Menor del Plan General de Ordenación, modificación de la Ficha del SG-SP 1.13.045 Aparcamiento del Campo de Fútbol Los Pozos”.",PGOU,,,,
10,dogv,"ANUNCIO del Acuerdo de 25 de noviembre de 2024, de la Junta de Gobierno Local, del informe ambiental y territorial estratégico favorable sobre la modificación puntual del Plan general de ordenación urbana de Benicarló para la calificación como equipación (SQE) de terrenos calificados como espacio libre (E1) y viario (V1), colindantes con la unidad de actuación 7 de suelo urbano, para la construcción del Colegio de Educación Infantil y Primaria número 5.",PGOU,,,,
11,bocyl,INFORMACIÓN pública relativa a la aprobación inicial del proyecto de urbanización del sector 7 de suelo urbanizable del Plan General de Ordenación Urbana de Cabezón de Pisuerga (Valladolid). Expte.: 1168/2021.,PGOU,,,,
12,boa,"RESOLUCIÓN de 28 de enero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se formula la declaración ambiental estratégica del Plan General de Ordenación Urbana Simplificado de Jarque de Moncayo (Zaragoza), promovido por el Ayuntamiento de Jarque de Moncayo. (Número de Expediente: INAGA 500201/71/2024/09313).",PGOU,,,,
13,boja,"Acuerdo de 25 de noviembre de 2024, del Ayuntamiento de Almedinilla, por el que se aprueba definitivamente el documento de revisión parcial del Plan General de Ordenación Urbanística de Almedinilla. Fuente Grande-Venta de Las Navas. (PP. 10317/2024).",PGOU,,,,
14,boca,"Gerencia Municipal de Urbanismo.- Anuncio de 29 de enero de 2025, por el que se somete a información pública la aprobación inicial de la Modificación Menor del Plan General de Ordenación para la protección del inmueble sito en la Avenida Lucas Vega, n.º 100.",PGOU,,,,
15,bocyl,"ACUERDO de 18 de febrero de 2025, del Pleno del Ayuntamiento de Saldaña de Burgos (Burgos), por el que se aprueba definitivamente el proyecto de actuación de la unidad de actuación única del sector de suelo urbano no consolidado Golf Saldaña de las Normas Urbanísticas Municipales.",PGOU,,,,
16,dogv,ANUNCIO por el que se somete a información pública la modificación puntual número 2 del Plan general de ordenación urbana.,PGOU,,,,
17,bocm,"Plan general de urbanismo
– Acuerdo de 12 de febrero de 2025, del Consejo de Gobierno, por el que se aprueba definitivamente la modificación del Plan General de Ordenación Urbana de Madrid para la creación del Área de Planeamiento Específico 10.24 “Paseo de la Ermita del Santo”, distrito de Latina, que incluye la delimitación de una única Unidad de Ejecución",PGOU,,,,
18,bocyl,"ACUERDO de 27 de febrero de 2025, de la Comisión Territorial de Medio Ambiente y Urbanismo de Salamanca, por el que se aprueba definitivamente la modificación n.º 2 de las Normas Urbanísticas Municipales de Miranda de Azán (Salamanca). Expte.: 24-037.",PGOU,,,,
19,bocm,"Normas urbanísticas
– Orden 878/2025, de 7 de marzo, de la Consejería de Medio Ambiente, Agricultura e Interior, por la que se aprueba definitivamente la Modificación Puntual de las Normas Subsidiarias de ámbito municipal de Buitrago del Lozoya, con el fin de adecuar las condiciones urbanísticas del Matadero Frigorífico Comarcal de Buitrago a su condición de equipamiento de interés social",PGOU,,,,
20,bocyl,"INFORMACIÓN pública relativa a la aprobación inicial de la modificación n.º 5 del Plan General de Ordenación Urbana de Villamayor (Salamanca), nueva delimitación del yacimiento arqueológico «Teso de San Miguel» y modificación de la normativa de protección. Expte.: 185/2025.",PGOU,,,,
21,docm,"Anuncio de 30/01/2025, del Ayuntamiento de Ciudad Real, sobre información pública de la alternativa técnica presentada por la mercantil Aikon Energía, SL del Programa de Actuación Urbanizadora de la Unidad de Ejecución del Plan General de Ordenación Urbana, denominada UE-VCAR.",PGOU,,,,
22,boib,"Acuerdo de aprobación definitiva con prescripciones relativa a la Modificación puntual nº. 3 de las Normas Subsidiarias de planeamiento del municipio de Mancor de la Vall consistente en la modificación de alineaciones, usos y parámetros edificatorios y ordenanzas de estética",PGOU,,,,
23,dogv,ANUNCIO por el que se somete a información pública la modificación puntual número 10 del Plan general de ordenación urbana de Montaverner (expediente 389/2021).,PGOU,,,,
24,boib,Modificación puntual de las normas subsidiarias de Consell para la delimitación y ordenación de un aparcamiento disuasivo,PGOU,,,,
