bulletin,description,act_type_n1,grupo_muestreo
boa,"RESOLUCIÓN de 27 de enero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se formula la declaración de impacto ambiental del proyecto de la concentración parcelaria de la zona de Santed (Zaragoza), promovido por la Dirección General de Desarrollo Rural del Gobierno de Aragón. (Número de Expediente: INAGA 500201/01A/2022/07286).",resolución,DIA
dogv,"RESOLUCIÓN de 2 de agosto de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula declaración de impacto ambiental del proyecto de plantas solares fotovoltaicas y su infraestructura de evacuación a red de las parcelas 7, 25, 29 y 59 del polígono 10 y parcelas 207 y 222 del polígono 8 en el término municipal de Onda. Expedientes: (3296500) 161/2024/AIA y (3296369) 162/2024/AIA.",resolución,DIA
boib,"Resolución de la directora general de Armonización Urbanística y Evaluación Ambiental por la que se formula la declaración de impacto ambiental sobre el proyecto de planta fotovoltaica conectada a red Alten Mallorca II, ubicado en la parcela 584, polígono 12, T.M. de Petra (68A/2024)",resolución,DIA
dogc,"Resolución TER/763/2025, de 27 de febrero, por la que se hace público el Acuerdo de declaración de impacto ambiental del Proyecto de modificación sustancial de una actividad de fabricación de papel y cartón en el término municipal de La Riba (exp. T1CS210127)",resolución,DIA
dogc,"Resolución TER/428/2025, de 16 de enero, de declaración de impacto ambiental del Proyecto de rotura forestal en las parcelas 15, 19 y 23 del polígono 08 del término municipal de Teià (OAA20240036)",resolución,DIA
bopv,"ANUNCIO de 17 de enero de 2025, de la Delegada Territorial de Industria, Transición Energética y Sostenibilidad de Bizkaia, por el que se somete a información pública la solicitud de Autorización Administrativa Previa y Declaración de Impacto Ambiental del proyecto «Parque Eólico Iparaixe II, 21 MW, y sus infraestructuras de evacuación», en los términos municipales de Barakaldo y Valle de Trápaga-Trapagaran (Bizkaia).

				
2025/00477",anuncio,DIA
dogv,"RESOLUCIÓN de 17 de septiembre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula la declaración de impacto ambiental del proyecto de planta de almacenamiento, valorización y transferencia de residuos no peligrosos y, aparcamiento de vehículos y maquinaria pesada en la parcela 87 del polígono 6, partida Abroser del término municipal de Borriol. Expediente: (2086682) 153/2021/AIA.",resolución,DIA
bocyl,"ORDEN MAV/94/2025, de 5 de febrero, por la que se modifica la declaración de impacto ambiental sobre el proyecto de renovación de la línea eléctrica aérea a 132 kV «ST La Fuente-ST Salas», tramo ST «La Fuente-AP. 10210», en los términos municipales de Mambrillas de Lara, Mecerreyes, Hortigüela, Cascajares de la Sierra, Barbadillo del Mercado, La Revilla y Ahedo y Villanueva de Carazo (Burgos).",orden,DIA
dog,"ANUNCIO de 6 de marzo de 2025, de la Dirección General de Calidad Ambiental y Sostenibilidad, por el que se hace pública la declaración de impacto ambiental del proyecto de ordenación forestal en las parroquias de Cereixido y Lamas de Moreira, en el ayuntamiento de A Fonsagrada (expediente 2023/0066).",anuncio,DIA
boa,"RESOLUCIÓN de 30 de octubre de 2024, del Instituto Aragonés de Gestión Ambiental por la que se formula la declaración de impacto ambiental del proyecto modificado del parque eólico ""Aragón Modificación"", en el término municipal de La Muela (Zaragoza), promovido por Enel Green Power España, SA y tramitado por el Servicio Provincial de Zaragoza del Departamento de Economía, Empleo e Industria. (Número de Expediente: INAGA: 500306/01l/2024/06922).",resolución,DIA
doe,"Resolución de 24 de febrero de 2025, de la Dirección General de Sostenibilidad, por la que se formula declaración de impacto ambiental del proyecto de instalación solar fotovoltaica de autoconsumo sin excedentes ""Autoconsumo Colectivo Siderúrgica"", a realizar en el término municipal de Jerez de los Caballeros (Badajoz). Expte.: IA24/0686.",resolución,DIA
boe,"Resolución de 27 de enero de 2025, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto «Actuaciones de control de la especie exótica invasora Nenúfar Mejicano (""Nymphaea Mexicana"") en la cuenca del Guadiana».",resolución,DIA
boib,"Resolución de la directora general de Armonización Urbanística y Evaluación Ambiental por la que se formula la declaración de impacto ambiental sobre el Proyecto Básico de Reforma de vivienda en edificio existente para conversión en Agroturismo (“Torre de S’Almunia”) - Es Rafal des Porcs”, promovido por Maria del Milagro de Sarriera y Vargas-Zuñiga, TM de Santanyí) (Exp. 96A/2024)",resolución,DIA
dogv,"RESOLUCIÓN de 25 de noviembre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula la declaración de impacto ambiental del proyecto de FV Alcoy, del término municipal de Alcoy. Expediente: (3658152) 305/2024/AIA.",resolución,DIA
boa,"RESOLUCIÓN de 12 de febrero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se modifica puntualmente la de 2 de agosto de 2022, en la que se formuló declaración de impacto ambiental y se otorgó la Autorización Ambiental Integrada para la ampliación de una explotación de ganado porcino de cebo hasta una capacidad de 4.199 plazas (503,88 UGM), en el polígono 5, parcela 143, del término municipal de Sesa (Huesca), y promovida por Qualiporc SL. (Número de Expediente INAGA 500305/02/2024/10513).",resolución,DIA
