id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s
0,boe,Anuncio de la Confederación Hidrográfica del Guadiana de sometimiento a información pública de resolución de otorgamiento de concesión de aguas subterráneas en el término municipal de Bolaños de Calatrava (Ciudad Real)- 3482/2020.,AGU_GEN,True,AGU_SND,cuenca_guadiana,,True,anuncio,"[""AGU_SND""]","[""cuenca_guadiana"", ""uso_agricola""]",0.85,"El texto menciona explícitamente ""concesión de aguas subterráneas"" para un uso en el término municipal, activando AGU_SND (sondeo/captación) y cuenca_guadiana por la Confederación Hidrográfica del Guadiana. Se infiere uso_agricola dado que normalmente las concesiones subterráneas en términos municipales como Bolaños de Calatrava (Ciudad Real) suelen estar ligadas a riego agrícola, aunque el texto no lo especifica directamente.",168.252
1,boe,"Anuncio de formalización de contratos de: Presidencia de la Confederación Hidrográfica del Guadiana. Objeto: Suministro de material y fungibles, y mantenimiento de equipos multifunción e impresoras en las oficinas de la Confederación Hidrográfica del Guadiana de Ciudad Real y Badajoz. Expediente: 202400000179.",AGU_GEN,False,,,,False,anuncio,[],[],0.98,"El texto describe un contrato de suministro y mantenimiento de material en oficinas, sin ninguna relación con agua, vías pecuarias, montes o espacios naturales protegidos. No contiene señales léxicas que activen ninguna categoría N2 según la taxonomía definida.",61.812
2,boe,"Anuncio de formalización de contratos de: Presidencia de la Confederación Hidrográfica del Guadalquivir. Objeto: Contrato de servicios para el soporte técnico al Área de Calidad de Aguas de la Confederación Hidrográfica del Guadalquivir en el análisis de muestras de aguas subterráneas, aguas superficiales y vertidos. Expediente: CU(CO)-7100.",AGU_GEN,False,,,,False,anuncio,[],[],1.0,"La descripción corresponde a un anuncio de formalización de contrato por soporte técnico al análisis de muestras de aguas. Aunque se mencionan ""aguas subterráneas, aguas superficiales y vertidos"", el objeto es un contrato de servicios administrativos (soporte técnico), no una concesión, autorización o gestión directa del dominio hídrico público según las reglas que definen lo relevante en este dominio.",69.076
3,boe,"Anuncio de la Confederación Hidrográfica del Júcar, O.A. sobre información pública de una concesión de aguas subterráneas en el T.M. de Chiva (Valencia).",AGU_GEN,True,AGU_SND,cuenca_jucar,,True,anuncio,"[""AGU_SND""]",[],0.95,"El texto es un ""Anuncio de la Confederación Hidrográfica del Júcar"" sobre ""concesión de aguas subterráneas"", lo que activa la categoría AGU_SND por ser el objeto principal del expediente. No se mencionan fines de uso específicos (riego, abastecimiento, industrial), ni referencias a vías pecuarias o espacios naturales protegidos. La cuenca es el Júcar por el organismo emisor (CHJ).",72.291
4,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública del expediente de modificación de características de concesión de un aprovechamiento de aguas subterráneas, de referencia MC-0219/2024 (INTEGRA-AYE) AV, con destino a riego en el término municipal de Constanzana (Ávila).",AGU_GEN,True,AGU_RIE,"uso_agricola,cuenca_duero",,True,anuncio,"[""AGU_SND""]","[""uso_agricola"", ""cuenca_duero""]",0.98,"""El texto menciona explícitamente 'expediente de modificación... concesión de un aprovechamiento de aguas subterráneas' y el fin es 'con destino a riego' en la cuenca del Duero, lo que activa AGU_SND por captación principal y uso agrícola. La referencia a la Confederación Hidrográfica del Duero y el término municipal de Ávila confirma la cuenca.""",75.656
5,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de resolución del expediente de concesión de un aprovechamiento de aguas subterráneas, de referencia C-0196/2022, con destino a riego en el término municipal de Torrelara (Burgos).",AGU_GEN,True,AGU_RIE,"uso_agricola,cuenca_duero",,True,anuncio,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_duero""]",0.95,"El texto indica explícitamente ""concesión de un aprovechamiento de aguas subterráneas, de referencia C-0196/2022, con destino a riego"", lo que activa la categoría AGU_RIE. El término ""Consejería del Agua en Castilla y León"" (aunque no aparece en el snippet proporcionado, se infiere de ""Confederación Hidrográfica del Duero"") y el término ""Burgos"" confirman la cuenca duero. La mención ""con destino a riego"" activa uso_agricola.",86.566
6,boe,Anuncio de licitación de: Presidencia de la Confederación Hidrográfica del Ebro. Objeto: Trabajos de impermeabilización a realizar en el embalse de Guiamets junto al estribo izquierdo de la presa. T/Els Guiamets. Expediente: 020/25-S.,AGU_GEN,False,,,,False,anuncio,[],[],0.95,"Se trata de una licitación para trabajos de impermeabilización en un embalse sin mención a concesión de aguas, gestión del DPH, espacios naturales protegidos o vías pecuarias. La referencia a la Confederación Hidrográfica del Ebro indica cuenca pero no es suficiente para activar PHD sin mención de plan hidrológico, ni activa AGU_GEN por ser una obra de mantenimiento/infraestructura sin concesión explícita.",78.54
7,boe,Anuncio de acuerdo de información pública de la Comisaría de Aguas de la Confederación Hidrográfica del Duero O.A. en el procedimiento de Aprovechamiento de pastos en el término municipal de Puebla de Lillo (León).,AGU_GEN,True,AGU_GEN,cuenca_duero,,UnexpectedModelBehavior,341.802
8,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública del expediente de modificación de características de concesión de un aprovechamiento de aguas subterráneas, de referencia MC-0105/2024 (INTEGRA-AYE) ZA, con destino a riego en el término municipal de Peleas de Abajo (Zamora).",AGU_GEN,True,AGU_RIE,"uso_agricola,cuenca_duero",,True,anuncio,"[""AGU_RIE"", ""AGU_SND""]","[""uso_agricola"", ""cuenca_duero""]",0.75,"El texto menciona ""concesión de un aprovechamiento de aguas subterráneas"" para ""riego"", lo que activa AGU_RIE (uso agrícola). También aparece explícitamente ""agua subterráneas"", activando AGU_SND, aunque el uso principal es riego. La Confederación Hidrográfica del Duero y la ubicación en Zamora indican la cuenca del Duero.",78.436
9,boe,Anuncio de la Confederación Hidrográfica del Tajo O.A. de la resolución de la solicitud de una concesión de aguas en el término municipal de Utande (Guadalajara). Referencia C-0178/2023.,AGU_GEN,True,AGU_GEN,cuenca_tajo,,True,anuncio,"[""AGU_GEN""]",[],0.95,"El texto describe una ""concesión de aguas"" sin especificar el uso (riego, abastecimiento, etc.), lo que activa la etiqueta residual AGU_GEN. La mención a la ""Confederación Hidrográfica del Tajo"" permite inferir la cuenca_tajo como subcategoría relevante.",65.749
