id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s
0,boja,"Resolución de 16 de enero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por la que se dispone la publicación de la Resolución de 11 de diciembre de 2024, que ordena proceder al registro y publicación de la «Modificación del Plan General de Ordenación Urbana (PGOU) de Mijas».",PGOU,True,MOD_PUN,fase_definitiva,Publicacion registro Modificacion PGOU Mijas,True,orden,"[""PGOU"", ""MOD_PUN""]",[],0.95,"La descripción menciona explícitamente «Modificación del Plan General de Ordenación Urbana (PGOU)» y «normas urbanísticas municipales», lo que activa las etiquetas PGOU y MOD_PUN. No hay indicios de fase del ciclo ni uso específico del suelo en el fragmento.",114.957
1,bocm,"Plan general de urbanismo
– Acuerdo de 12 de marzo de 2025, del Consejo de Gobierno, por el que se aprueba definitivamente la Decimoctava Modificación Puntual del Plan General de Ordenación Urbana de Getafe, en el ámbito ZOI 04, “Los Olivos”",PGOU,True,MOD_PUN,fase_definitiva,Decimoctava Modificacion Puntual PGOU Getafe,True,acuerdo,"[""PGOU"", ""MOD_PUN""]","[""fase_definitiva""]",0.98,"La descripción menciona explícitamente ""Plan general de urbanismo"" y ""Decimoctava Modificación Puntual del Plan General de Ordenación Urbana"", lo que activa las categorías PGOU y MOD_PUN. El texto indica ""aprobación definitivamente"", señalando la fase_definitiva.",64.742
2,docm,"Anuncio de 28/01/2025, del Ayuntamiento de Villar de Olalla (Cuenca), sobre exposición pública del Plan Especial de Reforma Interior de Mejora (Perim) en el entorno de la senda de las Pernalosas-sectores U.2A y U.2B de las Normas Subsidiarias de Villar de Olalla (Cuenca).",PGOU,True,PLAN_ESP,fase_ip,PERIM exposicion publica - Plan Especial Reforma Interior Mejora,True,anuncio,"[""PGOU"", ""PLAN_ESP""]","[""fase_ip""]",0.95,"El texto menciona ""Normas Subsidiarias"" que en Cuenca funciona como instrumento regulatorio equivalente a PGOU, y además especifica explícitamente ""Plan Especial de Reforma Interior"". El contexto es claramente urbanístico por la referencia a sectores (U.2A, U.2B) del ámbito normativo local. Se trata de un anuncio sobre exposición pública (""exposición pública""), lo que indica la fase inicial del proceso participativo.",71.333
3,docm,"Anuncio de 27/12/2024, del Ayuntamiento de Albacete, de la Gerencia Municipal de Urbanismo y Vivienda, sobre información pública del contenido de la plica presentada por la mercantil, Albaluz German Capital SL, a su propia alternativa técnica de Programa de Actuación Urbanizadora presentada para el desarrollo de las determinaciones urbanísticas de la Ordenanza de Transformación 10.11 carretera Madrid I del Plan General de Ordenación Urbana de Albacete.",PGOU,True,PROY_URB,fase_ip,PAU en CLM = PROY_URB,True,anuncio,"[""PGOU"", ""PROY_URB""]","[""fase_ip"", ""uso_comercial""]",0.85,"El texto menciona explícitamente ""Plan General de Ordenación Urbana"" (PGOU) y una ""alternativa técnica de Programa de Actuación Urbanizadora"", lo que justifica las categorías PROY_URB y PGOU. El fragmento ""información pública del contenido de la plica presentada..."" activa la subcategoría fase_ip, mientras que ""carretera Madrid I"" sugiere un entorno comercial/infraestructural, orientando a uso_comercial.",78.53
4,boca,"Viceconsejería de Planificación Territorial y Reto Demográfico.- Anuncio por el que se hace pública la Resolución de 14 de febrero de 2025, que da publicidad al Acuerdo de la Comisión Autonómica de Evaluación Ambiental de 12 de febrero de 2025, para la emisión del Informe Ambiental Estratégico en el Procedimiento de Evaluación Ambiental Estratégica Simplificada de la Modificación Menor del Plan General de Ordenación de Güímar - Unidad de Actuación 16.2 El Tablado.- Expte. 2022/0014990 (5940).",PGOU,True,MOD_PUN,fase_ip,IAE Modificacion Menor PGO Guimar Canarias,True,anuncio,"[""PGOU"", ""MOD_PUN""]","[""fase_inicial""]",0.95,"El texto menciona explícitamente ""Plan General de Ordenación"" (PGOU) y ""Modificación Menor"", lo que activa las categorías PGOU y MOD_PUN. El fragmento ""Anuncio por el que se hace pública la Resolución... para la emisión del Informe Ambiental Estratégico"" indica que es un anuncio informando sobre una fase inicial del procedimiento de modificación, sin indicar aprobación definitiva.",73.39
5,doe,"Anuncio de 20 de febrero de 2025 sobre aprobación inicial del Programa de Ejecución de la UE3, de la zona 3 de las Normas Subsidiarias.",PGOU,True,PROY_URB,fase_inicial,Proyecto Ejecucion UE3 NNSS = PROY_URB,True,anuncio,"[""PGOU""]","[""fase_inicial""]",0.98,"La descripción menciona explícitamente ""Aprobación inicial"" (subcategoría fase_inicial) y ""Programa de Ejecución"" referenciado a ""Normas Subsidiarias"", lo que se enmarca bajo la categoría PGOU (Plan General de Ordenación Urbana). El fragmento clave es ""Anuncio de 20 de febrero de 2025 sobre aprobación inicial del Programa de Ejecución... Normas Subsidiarias"".",72.23
6,dogc,"Anuncio sobre aprobación inicial de la modificación puntual del Plan general de ordenación municipal de Lliçà de Vall referente al ámbito de la UA del polígono industrial de Can Coll, Tèxtil Torres",PGOU,True,MOD_PUN,"fase_inicial,uso_industrial",Mod puntual PGO municipal poligono industrial Can Coll,True,anuncio,"[""PGOU"", ""MOD_PUN""]","[""fase_inicial"", ""uso_industrial""]",0.98,"La descripción menciona explícitamente ""Plan general de ordenación municipal"" (PGOU), ""modificación puntual"" (MOD_PUN), ""aprobación inicial"" (fase_inicial) y ""polígono industrial"" (uso_industrial). Todas las categorías están claramente señaladas en el texto.",66.541
7,dogv,"EDICTO de aprobación del informe ambiental y territorial estratégico, por el procedimiento simplificado, de la modificación puntual de la ordenación detallada del Plan general de ordenación urbana de la redistribución del suelo dotacional en la UE-1 insertada en suelo urbano.",PGOU,True,MOD_PUN,"fase_ip,uso_equipamiento",IAE mod puntual PGOU redistribucion suelo dotacional,True,edicto,"[""PGOU"", ""MOD_PUN""]",[],0.95,El texto contiene explícitamente las categorías PGOU y MOD_PUN. Se cita 'Plan general de ordenación urbana' (PGOU) y 'modificación puntual de la ordenación detallada'. No hay señales para subcategorías de fase o uso del suelo.,63.469
8,boc,"Informe Ambiental Estratégico de la Modificación Puntual número 1, del Plan General de Ordenación Urbana, de San Miguel de Aguayo. Protección de los valores naturales y paisajísticos y adaptación a la LOTUCA.",PGOU,True,MOD_PUN,fase_ip,IAE Modificacion Puntual 1 PGOU San Miguel de Aguayo,True,información_pública,"[""MOD_PUN"", ""PGOU""]",[],0.95,"El texto menciona explícitamente ""Modificación Puntual número 1"" (MOD_PUN) y ""Plan General de Ordenación Urbana"" (PGOU). El tipo de acto es información pública dado que es un informe ambiental estratégico.",62.32
9,boca,"ANUNCIO de 6 de noviembre de 2024, por el que se somete a información pública la aprobación inicial de la “Modificación Menor del Plan General de Ordenación, modificación de la Ficha del SG-SP 1.13.045 Aparcamiento del Campo de Fútbol Los Pozos”.",PGOU,True,MOD_PUN,"fase_inicial,uso_equipamiento",IP aprobacion inicial Mod Menor PGO aparcamiento campo futbol,True,anuncio,"[""PGOU"", ""MOD_PUN""]","[""fase_ip"", ""fase_inicial""]",0.98,"El texto menciona explícitamente ""Plan General de Ordenación"" (PGOU) y ""Modificación Menor del Plan General"" (MOD_PUN). También indica ""aprobación inicial"" (fase_inicial) y ""información pública"" (fase_ip), lo que coincide con las señales léxicas.",67.252
10,dogv,"ANUNCIO del Acuerdo de 25 de noviembre de 2024, de la Junta de Gobierno Local, del informe ambiental y territorial estratégico favorable sobre la modificación puntual del Plan general de ordenación urbana de Benicarló para la calificación como equipación (SQE) de terrenos calificados como espacio libre (E1) y viario (V1), colindantes con la unidad de actuación 7 de suelo urbano, para la construcción del Colegio de Educación Infantil y Primaria número 5.",PGOU,True,MOD_PUN,"fase_ip,uso_equipamiento",IAE mod puntual PGOU Benicarlo suelo dotacional CEIP,True,anuncio,"[""PGOU"", ""MOD_PUN"", ""LIC_URB""]","[""fase_ip"", ""uso_equipamiento""]",0.98,"El texto menciona explícitamente ""modificación puntual del Plan general de ordenación urbana"" (categorías PGOU y MOD_PUN), la ""calificación como equipación"" (subcategoría uso_equipamiento) de terrenos para un Colegio, y que se trata de un ""Anuncio... del informe ambiental y territorial estratégico favorable"", lo que indica una fase de información pública sobre la modificación (fase_ip).",150.38
11,bocyl,INFORMACIÓN pública relativa a la aprobación inicial del proyecto de urbanización del sector 7 de suelo urbanizable del Plan General de Ordenación Urbana de Cabezón de Pisuerga (Valladolid). Expte.: 1168/2021.,PGOU,True,PROY_URB,fase_inicial,Aprobacion inicial proyecto urbanizacion sector 7 PGOU,True,información_pública,"[""PROY_URB"", ""PGOU""]","[""fase_inicial""]",0.95,"El texto menciona explícitamente ""aprobación inicial del proyecto de urbanización"" (dispara PROY_URB y fase_inicial) y lo sitúa en el contexto del ""Plan General de Ordenación Urbana"" (dispara PGOU). El acto es una información pública sobre dicha aprobación.",66.793
12,boa,"RESOLUCIÓN de 28 de enero de 2025, del Instituto Aragonés de Gestión Ambiental, por la que se formula la declaración ambiental estratégica del Plan General de Ordenación Urbana Simplificado de Jarque de Moncayo (Zaragoza), promovido por el Ayuntamiento de Jarque de Moncayo. (Número de Expediente: INAGA 500201/71/2024/09313).",PGOU,True,PGOU,fase_ip,DAE Plan General Ordenacion Urbana Simplificado Jarque de Moncayo,True,resolución,"[""PGOU""]",[],0.98,"La publicación menciona explícitamente ""Plan General de Ordenación Urbana Simplificado"", lo cual coincide con la categoría PGOU. No hay indicios suficientes para determinar una fase concreta del ciclo o un uso específico del suelo en este fragmento.",61.283
13,boja,"Acuerdo de 25 de noviembre de 2024, del Ayuntamiento de Almedinilla, por el que se aprueba definitivamente el documento de revisión parcial del Plan General de Ordenación Urbanística de Almedinilla. Fuente Grande-Venta de Las Navas. (PP. 10317/2024).",PGOU,True,PGOU,fase_definitiva,Aprobacion definitiva revision parcial PGOU Almedinilla,True,acuerdo,"[""PGOU"", ""PLAN_ESP""]","[""fase_definitiva"", ""fase_avance""]",0.95,"El texto menciona ""aprobación definitiva del documento de revisión parcial del Plan General de Ordenación Urbanística"", lo que justifica las etiquetas PGOU y fase_definitiva. También se refiere a una ""revisión parcial"", lo que indica PLAN_ESP y fase_avance, ya que es un proceso de revisión en curso.",57.171
14,boca,"Gerencia Municipal de Urbanismo.- Anuncio de 29 de enero de 2025, por el que se somete a información pública la aprobación inicial de la Modificación Menor del Plan General de Ordenación para la protección del inmueble sito en la Avenida Lucas Vega, n.º 100.",PGOU,True,MOD_PUN,fase_inicial,IP aprobacion inicial Modificacion Menor PGO proteccion inmueble,True,anuncio,"[""PGOU"", ""MOD_PUN""]","[""fase_ip""]",0.95,"El texto menciona explícitamente ""Plan General de Ordenación"" (PGOU) y ""Modificación Menor"" (MOD_PUN). La frase ""somete a información pública la aprobación inicial"" identifica claramente la fase de información pública (fase_ip).",51.691
15,bocyl,"ACUERDO de 18 de febrero de 2025, del Pleno del Ayuntamiento de Saldaña de Burgos (Burgos), por el que se aprueba definitivamente el proyecto de actuación de la unidad de actuación única del sector de suelo urbano no consolidado Golf Saldaña de las Normas Urbanísticas Municipales.",PGOU,True,PROY_URB,fase_definitiva,Aprobacion definitiva proyecto actuacion UE Golf Saldana NUM,True,acuerdo,"[""PGOU""]","[""fase_definitiva"", ""uso_rustico""]",0.95,"El texto menciona ""Normas Urbanísticas Municipales"" que encaja con PGOU, y se trata de una ""aprobación definitiva"", además de referirse a ""suelo urbano no consolidado"".",50.26
16,dogv,ANUNCIO por el que se somete a información pública la modificación puntual número 2 del Plan general de ordenación urbana.,PGOU,True,MOD_PUN,fase_ip,IP modificacion puntual num 2 PGOU,True,anuncio,"[""PGOU"", ""MOD_PUN""]","[""fase_ip""]",1.0,"""La descripción menciona explícitamente 'anuncio', 'información pública' (fase_ip), 'modificación puntual número 2' (MOD_PUN) y 'Plan general de ordenación urbana' (PGOU).""",48.459
