id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s,error
0,boe,Anuncio de formalización de contratos de: Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base). Objeto: Concesión de servicios Cafetería ALA 12. Expediente: 2024/EA22/00001943E.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicios cafeteria,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.95,"El texto contiene explícitamente ""Anuncio de formalización de contratos"" (señal CONT_FOR) y define el objeto como ""Concesión de servicios Cafetería ALA 12"", confirmando la categoría CONT_CON. El servicio es de cafetería, por lo que la subcategoría es tipo_servicios.",120.41,
1,bocyl,"RESOLUCIÓN de 7 de enero de 2025, de la Dirección General de Transportes y Logística, por la que se hace pública la transmisión de la titularidad del contrato de concesión de servicio público de transporte regular y de uso general de viajeros por carretera, entre Castronuño y Toro (VACL-152), prestados por la empresa «Antonio Expósito Lucas» a favor de la empresa «Castaño e Hijos, S.L.».",CONT_CON,True,CONT_CON,tipo_servicios,Transmision de titularidad de contrato de concesion de transporte,True,resolución,"[""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto menciona explícitamente ""transmisión de la titularidad del contrato de concesión de servicio público"" en el contexto de transporte regular, lo que justifica la categoría de concesión y subcategoría de servicios.",57.966,
2,bor,Exposición pública del estudio de viabilidad económico-financiera para la concesión de servicio de gestión de las piscinas municipales,CONT_CON,True,CONT_CON,tipo_servicios,Estudio de viabilidad previo a concesion de servicio piscinas,False,información_pública,[],[],0.95,"La publicación es una ""Exposición pública del estudio de viabilidad económico-financiera para la concesión de servicio"", que es un trámite previo a la contratación (información pública), no el acto contractual en sí mismo (licitación, formalización o adjudicación). Por lo tanto, is_relevant=False según las reglas.",58.667,
3,boe,Anuncio de licitación de: Jefatura de Asuntos Económicos de la Fuerza Terrestre. Objeto: Concesión de servicio del Bar-Cafetería para el Establecimiento Plaza España. Expediente: 2025/ETSAE0206/00000005E.,CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio bar-cafeteria,False,anuncio,[],[],0.95,"El texto menciona ""concesión de servicio"" pero se refiere a una ""concesión administrativa o demanial"" del bar-cafetería para un establecimiento militar, que según las reglas críticas es una concesión de dominio público y no un contrato de contratación pública (LCSP). Por tanto, is_relevant=False.",59.549,
4,borm,Información pública para la aprobación inicial del anteproyecto de construcción y explotación del contrato de concesión del servicio publico de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,True,CONT_CON,"tipo_obras, tipo_servicios",Anteproyecto de construccion y explotacion de concesion de agua,False,información_pública,[],[],0.95,"La publicación es una ""Información pública"" para la aprobación de un anteproyecto de contrato de concesión del servicio público de agua. Según la regla crítica 4, las concesiones de servicios públicos como el abastecimiento de agua son concesiones administrativas/demaniales y NO actos de contratación pública (LCSP), por lo que is_relevant=False.",127.231,
5,boe,Anuncio de formalización de contratos de: Dirección del Instituto de Astrofísica de Canarias. Objeto: Contrato de concesión del servicio de explotación de la cafetería-comedor de la Sede Central del Instituto de Astrofísica de Canarias. Expediente: LIC-24-018.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicio cafeteria-comedor,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto menciona explícitamente ""Anuncio de formalización de contratos"" (dispara CONT_FOR) y el objeto es ""Contrato de concesión del servicio de explotación de la cafetería"", lo que implica tanto una fase de formalización como un tipo de contrato de concesión de servicios (CONT_CON). La prestación es la explotación de un local, clasificándose como ""tipo_servicios"".",67.225,
6,boe,"Anuncio de licitación de: Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P. Objeto: Concesión del servicio de cafetería-comedor destinado al Centro Nacional de Biotecnología de la Agencia Estatal Consejo Superior de Investigaciones Científicas. Expediente: CAF1/25.",CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio cafeteria,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto indica explícitamente ""Anuncio de licitación"" (señal para CONT_LIC) y el objeto es ""Concesión del servicio"" (señal para CONT_CON y tipo_servicios).",56.633,
7,borm,Información pública para la aprobación inicial de la estructura de costes del contrato de concesión del servicio público de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,True,CONT_CON,tipo_servicios,Estructura de costes de concesion de servicio de agua,False,,,,,,116.454,UnexpectedModelBehavior
8,docm,"Resolución de 25/02/2025, de la Secretaría General, por la que se dispone la publicación del convenio de colaboración entre la Consejería de Fomento de la comunidad autónoma de Castilla-La Mancha y el Ayuntamiento de Olías del Rey para la implantación del transporte público regular de viajeros en autobús según contrato de concesión del servicio público de transporte regular de viajeros de uso general por carretera en determinadas zonas rurales de la provincia de Toledo: VCM-631 Olías del Rey-Toledo.",CONT_CON,False,,,Convenio interadministrativo sobre servicio en concesion existente: no es acto contractual,False,resolución,[],[],0.95,"El texto describe un ""convenio de colaboración"" para la implantación de transporte público, pero según las reglas críticas (punto 2 y punto 6 del prompt), los convenios interadministrativos o de colaboración sin acto contractual explícito no son actos de contratación pública. La mención a ""contrato de concesión"" en este contexto parece ser el objeto del convenio o el marco legal de la colaboración, no una nueva fase contractual (CONT_CON) por sí mismo en ausencia de un anuncio de licitación o formalización específica que implique un procedimiento administrativo completo bajo LCSP. Por tanto, se clasifica como no relevante para contratación pública.",79.94,
9,bopa,Edicto. Trámite de audiencia a la iniciativa privada para presentar estudios de viabilidad a la concesión de obra de un nuevo aparcamiento bajo la Plaza de la Escandalera de Oviedo. Expte. 1100-0001-2024/14. [Cód. 2025-01895],CONT_CON,True,CONT_CON,tipo_obras,Tramite de audiencia estudios viabilidad concesion de obra aparcamiento,False,edicto,[],[],0.95,"La publicación es un ""Edicto"" de ""concesión de obra"", pero se trata de una concesión demanial o administrativa (aprovechamiento para aparcamiento bajo plaza) que no corresponde a un contrato público sujeto a la LCSP, sino a una autoridad/portuaria o concesión sobre dominio público. El texto dice: ""Trámite de audiencia... a la concesión de obra"", lo que indica una concesión demanial, no contractual.",69.45,
