id,bulletin,description,grupo_muestreo,act_type_n1,is_relevant_gt,procedures_gt,technologies_gt,is_relevant_pred,act_type_pred,procedures_pred,technologies_pred,confidence,reasoning,duration_s
0,bocyl,"RESOLUCIÓN de 3 de febrero de 2025, del Servicio Territorial de Industria, Comercio y Economía de Valladolid, dictada por delegación, por la que se concede la autorización administrativa previa y autorización administrativa de construcción de una instalación de distribución eléctrica, en el término municipal de Villalón de Campos (Valladolid). Expte.: AT-51585 (ATLI-51585).",AAC,resolución,True,"AAP,AAC",línea_eléctrica,True,resolución,"[""AAP"", ""AAC""]","[""línea_eléctrica""]",0.98,"La descripción menciona explícitamente la concesión de ""autorización administrativa previa"" (AAP) y ""autorización administrativa de construcción"" (AAC). La instalación es para ""distribución eléctrica"", lo que encaja con la tecnología ""línea_eléctrica"".",54.347
1,boe,"Resolución de 24 de febrero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Red Eléctrica de España, SAU, autorización administrativa previa y autorización administrativa de construcción de la línea aérea de transporte de energía eléctrica a 400 kV, doble circuito, de entrada y salida en la subestación Torrejón de Velasco, de la línea eléctrica a 400 kV Morata-Villaviciosa, en Torrejón de Velasco (Madrid), y se declara, en concreto, la utilidad pública.",AAC,resolución,True,"AAP,AAC,DUP",línea_eléctrica,True,resolución,"[""AAP"", ""AAC"", ""DUP""]","[""línea_eléctrica""]",0.98,"El texto menciona explícitamente ""autorización administrativa previa y autorización administrativa de construcción"", lo que activa las etiquetas AAP y AAC, además de declarar ""la utilidad pública"" que corresponde a DUP. La tecnología referida es una ""línea eléctrica"".",52.449
2,bon,"Información pública de la solicitud de autorización administrativa previa, autorización administrativa de construcción y declaración de impacto ambiental de la ""planta fotovoltaica de autoconsumo hibridado con la planta de cogeneración de Viscofán de 45,045 MW de potencia instalada"" y su infraestructura de evacuación",AAC,información_pública,True,"AAP,AAC,DIA","fotovoltaica,hibridación",True,información_pública,"[""AAP"", ""AAC"", ""DIA""]","[""fotovoltaica"", ""hibridación""]",0.95,"El texto describe explícitamente una solicitud de ""autorización administrativa previa (AAP)"", ""autorización administrativa de construcción (AAC)"" y ""declaración de impacto ambiental (DIA)"". Además, menciona la ""planta fotovoltaica"" (tecnología fotovoltaica) y su ""hibridado con la planta de cogeneración"", lo que confirma las tecnologías hibridación y fotovoltaica.",69.413
3,docm,"Resolución de 22/10/2024, de la Delegación Provincial de Desarrollo Sostenible de Guadalajara, por la que se otorga a UFD Distribución Electricidad, SA, la autorización administrativa previa y autorización administrativa de construcción del proyecto con título: Proyecto para PS entronque en media tensión. Término municipal de Auñón (Guadalajara). Número de expediente 2023DIST023.",AAC,resolución,True,"AAP,AAC",línea_eléctrica,True,resolución,"[""AAP"", ""AAC""]","[""fotovoltaica"", ""línea_eléctrica""]",0.95,"La descripción menciona explícitamente ""se otorga... la autorización administrativa previa y autorización administrativa de construcción"" (AAP, AAC). El proyecto es una ""PS entronque en media tensión"", que corresponde a tecnologías fotovoltaica y línea eléctrica.",52.834
4,boa,"RESOLUCIÓN de 9 de abril de 2024, de la Directora General de Energía y Minas, por la que se otorga la autorización administrativa previa y autorización de construcción de la planta fotovoltaica ""Ancar II"" en el término municipal de Alfambra (Teruel).",AAC,resolución,True,"AAP,AAC",fotovoltaica,True,resolución,"[""AAP"", ""AAC""]","[""fotovoltaica""]",1.0,"El texto menciona explícitamente ""se otorga la autorización administrativa previa y autorización de construcción"", lo que activa los procedimientos AAP y AAC. Además, alude a una ""planta fotovoltaica"", activando la tecnología fotovoltaica.",48.547
5,docm,"Resolución de 12/03/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente: E-45211122377 corresponde I.",AAC,resolución,True,"AAP,AAC",línea_eléctrica,True,resolución,"[""AAP"", ""AAC""]","[""línea_eléctrica""]",0.95,"La descripción menciona explícitamente ""autorización administrativa previa y autorización administrativa de construcción"", lo que activa las etiquetas AAP y AAC según la regla 3. Además, se refiere a una ""instalación eléctrica de alta tensión"", confirmando la tecnología línea_eléctrica.",50.794
6,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización administrativa previa y autorización administrativa de construcción de una instalación solar fotovoltaica y su instalación de evacuación, en el término municipal de San Marcial-El Perdigón (Zamora). Expte.: 9158 PSFV El Cerrojo - ITX.",AAC,información_pública,True,"AAP,AAC",fotovoltaica,True,información_pública,"[""AAP"", ""AAC""]","[""fotovoltaica"", ""línea_eléctrica""]",0.95,"La descripción menciona explícitamente la ""solicitud de autorización administrativa previa"" (AAP) y ""autorización administrativa de construcción"" (AAC). La tecnología es solar fotovoltaica y se refiere a una ""instalación de evacuación"", que corresponde a una línea eléctrica. El tipo N1 es ""información pública"".",107.479
7,bon,"RESOLUCIÓN 167/2024, de 10 de diciembre, de la directora general de Energía, I+D+i empresarial y Emprendimiento, por la que se deniega la autorización administrativa previa, y la autorización administrativa de construcción y declaración, en concreto, de utilidad pública para la instalación de producción de energía eléctrica denominada planta solar fotovoltaica ""Tafalla Polux"", en término municipal de Tafalla.",AAC,resolución,True,"AAP,AAC,DUP",fotovoltaica,True,resolución,"[""AAP"", ""AAC"", ""DUP""]","[""fotovoltaica""]",0.98,"El texto menciona explícitamente ""deniega la autorización administrativa previa"" (dispara AAP), ""la autorización administrativa de construcción"" (dispara AAC) y ""declaración, en concreto, de utilidad pública"" (dispara DUP). La referencia a ""planta solar fotovoltaica"" identifica la tecnología. Se trata de una resolución de denegación que hereda los procedimientos del proyecto original.",58.703
8,boe,"Anuncio de los Servicios Territoriales en Tarragona del Departamento de Territorio, Vivienda y Transición Ecológica de la Generalitat de Cataluña por el que se somete a información pública la solicitud de modificación de la autorización administrativa previa, la autorización administrativa de construcción y la declaración de utilidad pública del Proyecto de la línea eléctrica de evacuación de la planta solar fotovoltaica llamada PS AENA Aeroport Reus de 12,5 MW sobre terreno en suelo no urbanizable, en el término municipal de Reus, en la comarca del Baix Camp. (Expte.FUE-2020-02168847, RAC-02530, RIPRE-02530).",AAC,anuncio,True,"AAP,AAC,DUP","fotovoltaica,línea_eléctrica",True,anuncio,"[""AAP"", ""AAC"", ""DUP""]","[""fotovoltaica"", ""línea_eléctrica""]",0.95,"El texto menciona ""modificación de la autorización administrativa previa, la autorización administrativa de construcción y la declaración de utilidad pública"" del Proyecto solar fotovoltaica. El fragmento clave es ""solicitud de modificación de la autorización administrativa previa (AAP), la autorización administrativa de construcción (AAC) y la declaración de utilidad pública (DUP)"". La tecnología se identifica como ""planta solar fotovoltaica"" y ""línea eléctrica de evacuación"".",64.315
9,boe,"Resolución de 27 de enero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Hornija Eólica, SLU, autorización administrativa previa y autorización administrativa de construcción, para la instalación solar fotovoltaica San Lorenzo D, de 34,377 MW de potencia instalada, para su hibridación con el parque eólico existente San Lorenzo D, de 33,75 MW, y sus infraestructuras de evacuación, en Castromonte, Torrelobatón y Peñaflor de Hornija (Valladolid), y se declara, en concreto, la utilidad pública.",AAC,resolución,True,"AAP,AAC,DUP","fotovoltaica,hibridación",True,resolución,"[""AAP"", ""AAC"", ""DUP""]","[""fotovoltaica"", ""eólica"", ""hibridación""]",0.98,"La descripción menciona explícitamente ""autorización administrativa previa y autorización administrativa de construcción"", lo que activa las etiquetas AAP y AAC. Además, el texto afirma ""se declara... la utilidad pública"", activando DUP. Los fragmentos sobre ""instalación solar fotovoltaica"", ""parque eólico"" y ""hibridación"" justifican las tecnologías correspondientes.",68.203
